run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1584_bf16_codexprune05_pack06_defer_studentonly_v1,train_pairs.rows1584.normalized.jsonl,1584,stage_a__checkpoint-003500,stage_a,checkpoint-003500,greedy,32.8755,53.8487
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-006000,stage_a,checkpoint-006000,greedy,32.8603,54.3076
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2240_bf16_confirm_best7,train_pairs.rows2240.merged.jsonl,2240,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.8224,52.5391
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-005000,stage_a,checkpoint-005000,greedy,32.8143,54.8589
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.7297,55.5104
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexpolish_pack06_prune10_ckpt3000_lr5e6_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-001000,stage_a,checkpoint-001000,greedy,32.7147,55.0160
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260311T212756Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,32.7139,54.9631
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-005500,stage_a,checkpoint-005500,greedy,32.6880,55.3070
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,32.6866,53.0252
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexreplace05_pack06_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-001500,stage_a,checkpoint-001500,greedy,32.6461,51.5057
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1600_bf16_codexextend_pack06_replace10_6k_dense500_defer_studentonly_v1,train_pairs.rows1600.normalized.jsonl,1600,stage_a__checkpoint-004500,stage_a,checkpoint-004500,greedy,32.6400,55.2459
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1568_bf16_codexdense_pack06_prune10_seed42_500ckpts_v1,train_pairs.rows1568.normalized.jsonl,1568,stage_a__checkpoint-002500,stage_a,checkpoint-002500,greedy,32.6157,54.5042
